15,1:41.50,Ladue Horton Watkins,,15,1:46.88,William Dino,SLUH,,15,1:58.63,Seth Augustine,Liberty North,,15,22.03,Clark Montgomery,Webster Groves,,15,53.47,Logan Lawrence,Staley,,15,48.48,Sakutaro Yamakawa,Chaminade College Prep,,15,4:55.18,Tynan Meyer,Oak Park,,15,1:33.31,Parkway South,,15,54.76,Levi Skaggs,North Kansas City,,15,1:01.13,Reilly Eagan,Rockhurst,,15,3:24.40,Eureka,
16,1:41.58,Glendale,,16,1:46.94,Aiden Kim,Clayton,,16,1:58.72,Elliott Sapp,SLUH,,16,22.04,Mitchell Stanley,Parkway South,,16,53.51,Harrison Frost,Westminster Christian Academy,,16,48.71,Timothy Harmon,Rockhurst,,16,4:56.12,Joshua Battison,Rockhurst,,16,1:33.40,Park Hill South,,16,54.89,Calvin Mueller,Hannibal,,16,1:01.15,Elliott Sapp,SLUH,,16,3:24.87,Parkway South,
17,1:41.96,Lee's Summit North,,17,1:47.43,Connor Muran,Parkway Central,,17,1:58.98,Matthew Riggs,Liberty,,17,22.05,Ari Elder,Park Hill South,,17,53.61,Jace Graham,Liberty,,17,48.73,Connor Muran,Parkway Central,,17,4:56.77,Jackson Brinton,Ladue Horton Watkins,,17,1:33.60,Lee's Summit North,,17,54.99,Kolton Evans,Nevada,,17,1:01.16,Kemper Roberts,Rockhurst,,17,3:25.26,Glendale,
18,1:42.89,Kirkwood,,18,1:47.50,Connor Landuyt,Park Hill South,,18,1:59.67,Brody Blatt,Parkway Central,,18,22.15,Cole Tobin,Liberty,,18,53.78,Connor Dunker,SLUH,,18,48.74,Camden Theodos,John Burroughs,,18,4:58.05,Michael Purcell,Chaminade College Prep,,18,1:33.85,Clayton,,18,55.09,Reilly Eagan,Rockhurst,,18,1:01.25,Kane Powell,Parkway North,,18,3:25.41,Rock Bridge,
19,1:42.97,Parkway West,,19,1:47.53,Reilly Eagan,Rockhurst,,19,1:59.68,Jung Hoon Kim,Lee's Summit,,19,22.17,William Steurer,SLUH,,19,53.95,Aaden Lutman,Rockhurst,,19,48.78,Cole Strom,Webster Groves,,19,4:59.33,Cole Tobin,Liberty,,19,1:33.92,Nevada,,19,55.11,Sean Greenwood,Lindbergh,,19,1:01.32,Jacob Kendall,Rockhurst,,19,3:25.59,Marquette,
20,1:43.09,Webster Groves,,20,1:47.87,Graham Henderson,Liberty,,20,2:00.35,Embry Collins,Hickman,,20,22.17,Tobias White,Battle,,20,53.97,Reilly Eagan,Rockhurst,,20,48.87,Jonas Orpe,Lafayette (Wildwood),,20,5:00.30,Aaden Lutman,Rockhurst,,20,1:34.35,Ladue Horton Watkins,,20,55.13,George Albert,SLUH,,20,1:01.57,Matthew Loesch,Lee's Summit West,,20,3:25.63,Lindbergh,
21,1:43.28,Kearney,,21,1:48.03,Luke Deutschman,Eureka,,21,2:00.73,Camden Theodos,John Burroughs,,21,22.25,Gavin Waser,Rockwood Summit,,21,53.98,Torsten Roither,Chaminade College Prep,,21,48.89,Davin Bachtel,Lee's Summit West,,21,5:01.28,Timothy Harmon,Rockhurst,,21,1:34.58,Park Hill,,21,55.15,Nathan Robbins,Francis Howell,,21,1:01.88,Kristopher Cobb,Raymore-Peculiar,,21,3:26.28,Central (Springfield),
22,1:43.74,Clayton,,22,1:48.13,Jace Graham,Liberty,,22,2:01.13,Graham Henderson,Liberty,,22,22.29,Haden Harshman,Grain Valley,,22,54.00,Mason Moellering,Parkway West,,22,48.99,Jonah DeWilde,Rockhurst,,22,5:01.44,Luke Deutschman,Eureka,,22,1:34.81,Marquette,,22,55.24,Kevin Wu,Ladue Horton Watkins,,22,1:02.19,Van Current,Kickapoo,,22,3:26.74,Pembroke Hill,
23,1:43.96,Christian Brothers College,,23,1:48.45,Timothy Harmon,Rockhurst,,23,2:01.57,Jonah DeWilde,Rockhurst,,23,22.29,Logan Lawrence,Staley,,23,54.14,Ari Elder,Park Hill South,,23,49.04,Samuel Durnal,St. Francis Borgia,,23,5:01.69,Tyler Scheidler,Marquette,,23,1:34.93,Parkway West,,23,55.24,Miles Tomsic,Rockhurst,,23,1:02.64,Kaiden Cracraft,Notre Dame (Cape Girardeau),,23,3:26.84,John Burroughs,
24,1:44.45,Liberty North,,24,1:48.61,Jackson Brinton,Ladue Horton Watkins,,24,2:01.89,Magnus Yin,Clayton,,24,22.32,Thaddeus Richard,Lincoln College Prep,,24,54.16,Jack Hokanson,Platte County,,24,49.15,William Wright,Carthage,,24,5:01.97,Owen Gray,Central (Springfield),,24,1:35.07,Rock Bridge,,24,55.37,David Neier,Francis Howell,,24,1:02.69,Logan Shackelford,Lee's Summit North,,24,3:26.96,Lee's Summit West,
25,1:44.92,Eureka,,25,1:48.65,Cormac Ward,Chaminade College Prep,,25,2:02.38,William Wright,Carthage,,25,22.37,Timothy Harmon,Rockhurst,,25,54.20,Grisham Gutshall,Platte County,,25,49.21,Aaden Lutman,Rockhurst,,25,5:01.99,Carson Butler,Glendale,,25,1:35.19,Lincoln College Prep,,25,55.53,Jung Hoon Kim,Lee's Summit,,25,1:02.89,Dayton Smith,Lee's Summit,,25,3:28.94,Liberty North,
26,1:44.98,Parkway North,,26,1:48.68,Aaden Lutman,Rockhurst,,26,2:02.55,Miles Tomsic,Rockhurst,,26,22.38,Jung Bin Kim,Lee's Summit,,26,54.26,Thomas (Tommy) Fichter,Chaminade College Prep,,26,49.22,Aiden Scholl,Smith-Cotton,,26,5:02.38,William Wright,Carthage,,26,1:35.41,Glendale,,26,55.56,Fields Floersch,Blue Springs,,26,1:02.89,Ziji Qi,Rock Bridge,,26,3:29.09,Christian Brothers College,
27,1:45.16,Park Hill,,27,1:48.83,Brody Blatt,Parkway Central,,27,2:02.56,Joshua Battison,Rockhurst,,27,22.40,Jonah DeWilde,Rockhurst,,27,54.37,Maxwell German,Central (Springfield),,27,49.41,Harrison Seavey,Parkway West,,27,5:02.88,Colin Cunneen,Chaminade College Prep,,27,1:35.48,John Burroughs,,27,55.67,Aaden Lutman,Rockhurst,,27,1:02.96,Liam O'Keefe,Pembroke Hill,,27,3:29.12,Park Hill,
28,1:45.79,Lutheran St. Charles,,28,1:48.90,Seamus Smith,Kirkwood,,28,2:02.56,Henry Hassenstab,SLUH,,28,22.40,Kemper Roberts,Rockhurst,,28,54.47,Fields Floersch,Blue Springs,,28,49.46,Jackson Shawhan,William Chrisman,,28,5:02.92,Aiden Kim,Clayton,,28,1:35.79,Platte County,,28,55.87,Jesse Myers,Central (Springfield),,28,1:03.04,Trace Gould,Nevada,,28,3:30.00,Parkway West,
29,1:46.42,Platte County,,29,1:48.90,Shawn Gill,Lindbergh,,29,2:03.23,Mason Moellering,Parkway West,,29,22.45,William McIlwaine,De Smet Jesuit,,29,54.49,George Albert,SLUH,,29,49.48,Tobias White,Battle,,29,5:03.29,"John (JP) Costello, Jr",Chaminade College Prep,,29,1:35.88,Notre Dame (Cape Girardeau),,29,55.93,Connor Landuyt,Park Hill South,,29,1:03.10,Riley Tinsley,Battle,,29,3:30.47,Francis Howell,
30,1:46.56,De Smet Jesuit,,30,1:49.10,Alexander Foot,Park Hill South,,30,2:03.63,Maxwell German,Central (Springfield),,30,22.47,Hudson Dennis,Notre Dame (Cape Girardeau),,30,54.56,Edwards Tate,Rock Bridge,,30,49.56,David Starr Jr,Liberty,,30,5:03.33,Peyton Dimmock,Parkway Central,,30,1:35.95,Central (St. Joseph),,30,56.03,Evan Schmutz,Central (Springfield),,30,1:03.15,Michael Pina,De Smet Jesuit,,30,3:30.94,Parkway North,
31,1:46.57,MICDS,,31,1:49.29,Joshua Battison,Rockhurst,,31,2:04.07,Burgess Walden,Pembroke Hill,,31,22.47,Ryan Coughenour,Rock Bridge,,31,54.63,Colin Teson,St. Pius X (Kansas City),,31,49.61,Cormac Ward,Chaminade College Prep,,31,5:03.42,Carter Reece,Blue Springs South,,31,1:36.09,Raymore-Peculiar,,31,56.08,Dane Tallent,Lutheran St. Charles,,31,1:03.19,Matthew Warren,Rockhurst,,31,3:32.17,Oak Park,
32,1:46.58,Oak Park,,32,1:49.64,Bryce Kundel,MICDS,,32,2:04.08,Robert Jansen,Lee's Summit West,,32,22.48,Alexander Atkins,Parkway West,,32,54.66,Aiden Kim,Clayton,,32,49.62,Shawn Gill,Lindbergh,,32,5:03.55,Graham Henderson,Liberty,,32,1:36.11,De Smet Jesuit,,32,56.10,Hunter Deutschmann,Parkway Central,,32,1:03.28,Aiden Scholl,Smith-Cotton,,32,3:33.60,Lutheran St. Charles,
33,1:46.75,Marquette,,33,1:49.73,Harrison Frost,Westminster Christian Academy,,33,2:04.38,Andrew Riney,Chaminade College Prep,,33,22.50,Bryce Kundel,MICDS,,33,54.76,Jung Bin Kim,Lee's Summit,,33,49.63,Carson Butler,Glendale,,33,5:04.38,Jameson Barnes,Monett,,33,1:36.52,Smithville,,33,56.21,Jonah DeWilde,Rockhurst,,33,1:03.31,Carson Butler,Glendale,,33,3:34.55,De Smet Jesuit,
34,1:46.98,Blue Springs South,,34,1:49.90,Owen Gray,Central (Springfield),,34,2:04.70,Brenen Birdsell,Raymore-Peculiar,,34,22.56,Brenen Birdsell,Raymore-Peculiar,,34,54.84,Matthew Warren,Rockhurst,,34,49.63,Mitchell Stanley,Parkway South,,34,5:04.52,Connor Landuyt,Park Hill South,,34,1:36.67,Francis Howell,,34,56.31,Jan Handke,Jackson,,34,1:03.33,Maxwell German,Central (Springfield),,34,3:34.75,Lafayette (Wildwood),
35,1:47.00,Central (St. Joseph),,35,1:49.94,Carson Butler,Glendale,,35,2:04.78,Jack Gillham,Glendale,,35,22.58,Aiden Scholl,Smith-Cotton,,35,55.07,Joshua Battison,Rockhurst,,35,49.66,Reilly Eagan,Rockhurst,,35,5:04.71,Jung Hoon Kim,Lee's Summit,,35,1:36.75,MICDS,,35,56.39,Braeden Mallonee,Kearney,,35,1:03.35,Evan Smith,Webster Groves,,35,3:34.76,Monett,
36,1:47.02,Monett,,36,1:49.99,Jonah DeWilde,Rockhurst,,36,2:04.81,Aiden Kim,Clayton,,36,22.63,Jonathan Grant,Pembroke Hill,,36,55.09,Brenen Birdsell,Raymore-Peculiar,,36,49.76,Haden Harshman,Grain Valley,,36,5:04.74,Curtis Murawski,Parkway West,,36,1:36.83,Lafayette (Wildwood),,36,56.63,William Zhang,Marquette,,36,1:03.36,Trey Burle,Missouri Military Academy,,36,3:36.23,Smith-Cotton,
37,1:47.20,Smith-Cotton,,37,1:50.44,Jung Hoon Kim,Lee's Summit,,37,2:04.97,Matthew Warren,Rockhurst,,37,22.65,Benjamin Honson,Central (St. Joseph),,37,55.13,Jack Campbell,Columbia Independent,,37,49.81,Levi Skaggs,North Kansas City,,37,5:05.65,Cole Strom,Webster Groves,,37,1:36.89,Eureka,,37,56.73,Tyler Yates,SLUH,,37,1:03.49,Rainier Realina,Park Hill,,37,3:36.37,MICDS,
38,1:47.40,John Burroughs,,38,1:50.58,Alexander Wiggins,SLUH,,38,2:05.05,Calvin Mueller,Hannibal,,38,22.70,Maxwell German,Central (Springfield),,38,55.15,William Newell,Rockhurst,,38,49.86,Jackson Brinton,Ladue Horton Watkins,,38,5:05.98,Jack Gillham,Glendale,,38,1:37.03,Kearney,,38,56.76,Henry Mura,Chaminade College Prep,,38,1:03.53,Levi Skaggs,North Kansas City,,38,3:36.49,Lee's Summit,
39,1:48.19,Blue Springs,,39,1:50.75,Jung Bin Kim,Lee's Summit,,39,2:05.33,Alex Lin,Marquette,,39,22.79,Ryan Lipski,Liberty (Wentzville),,39,55.18,Levi Skaggs,North Kansas City,,39,49.91,Aiden Kim,Clayton,,39,5:06.51,Grayson Langdon,Kirkwood,,39,1:37.10,Monett,,39,57.02,Harrison Seavey,Parkway West,,39,1:03.57,Andrew Riney,Chaminade College Prep,,39,3:36.49,Notre Dame (Cape Girardeau),
40,1:48.26,Notre Dame (Cape Girardeau),,40,1:50.77,Tyler Scheidler,Marquette,,40,2:05.36,Brayden Miao,Central (Springfield),,40,22.80,Abram Marinchek,Savannah,,40,55.35,Embry Collins,Hickman,,40,49.91,Jacob Corbett,SLUH,,40,5:06.79,Kemper Roberts,Rockhurst,,40,1:37.25,Lutheran St. Charles,,40,57.15,Samuel Wilkins,Glendale,,40,1:03.87,Tobias White,Battle,,40,3:36.59,Pattonville,
41,1:48.27,Rockwood Summit,,41,1:50.98,Benjamin Honson,Central (St. Joseph),,41,2:05.70,Michael Pina,De Smet Jesuit,,41,22.80,Riley Tinsley,Battle,,41,55.47,Cole Strom,Webster Groves,,41,49.94,Joshua Battison,Rockhurst,,41,5:06.95,Miller Dorsey,Kirkwood,,41,1:37.28,Grain Valley,,41,57.18,William Vieth,SLUH,,41,1:03.88,William Wright,Carthage,,41,3:36.80,Lincoln College Prep,
42,1:48.57,Raymore-Peculiar,,42,1:51.19,Ari Elder,Park Hill South,,42,2:05.85,Alexander Atkins,Parkway West,,42,22.81,Nathan Malt,Parkway Central,,42,55.61,Bryce Kundel,MICDS,,42,50.01,Nathan Searls,Liberty,,42,5:06.96,Adam Houck,Liberty,,42,1:37.36,Smith-Cotton,,42,57.24,Hunter Morris,Christian Brothers College,,42,1:03.97,Nash Wiles,Lee's Summit,,42,3:37.66,Raymore-Peculiar,
43,1:48.65,Lindbergh,,43,1:51.28,Jameson Barnes,Monett,,43,2:05.90,Kolton Evans,Nevada,,43,22.87,Aiden Kim,Clayton,,43,55.74,Jackson Shawhan,William Chrisman,,43,50.02,Arkadian Baumeister,Waynesville,,43,5:07.57,Serkan Patterson,Parkway Central,,43,1:37.61,Parkway North,,43,57.42,Myles Huey,Liberty,,43,1:04.02,Isaac Harrington,Hickman,,43,3:40.27,Nevada,
44,1:49.87,Parkway South,,44,1:51.40,Dawson Rudd,Logan-Rogersville,,44,2:06.10,Grayson Langdon,Kirkwood,,44,22.87,Nicholas Zimmerman,SLUH,,44,55.83,Dane Tallent,Lutheran St. Charles,,44,50.03,Langston Adams,Kirkwood,,44,5:07.85,Aidan Brennan,Clayton,,44,1:37.62,Christian Brothers College,,44,57.46,Samuel Durnal,St. Francis Borgia,,44,1:04.08,Silas Bextermueller,Christian Brothers College,,44,3:41.43,Ozark,
45,1:50.00,Lafayette (Wildwood),,45,1:51.53,Tynan Meyer,Oak Park,,45,2:06.16,Casey O'Hara,Park Hill South,,45,22.88,Bentley Stasiak,Blue Springs South,,45,55.92,Logan Shackelford,Lee's Summit North,,45,50.04,William McIlwaine,De Smet Jesuit,,45,5:08.34,Ian Bergin,Liberty,,45,1:37.72,St. Francis Borgia,,45,57.50,Camden Theodos,John Burroughs,,45,1:04.15,Xavier Gaul,Rockhurst,,45,3:42.33,Hannibal,
46,1:50.18,Westminster Christian Academy,,46,1:51.79,Magnus Yin,Clayton,,46,2:06.35,Ari Elder,Park Hill South,,46,22.89,Henry Clark,Lee's Summit,,46,56.02,Seth Augustine,Liberty North,,46,50.10,Casey O'Hara,Park Hill South,,46,5:08.48,Ty McKinnis,Oak Park,,46,1:37.73,Holt,,46,57.62,John Ward,Staley,,46,1:04.18,Whitaker Steward,Kearney,,46,3:43.39,Farmington,
47,1:50.19,Ft. Zumwalt South,,47,1:51.85,Jonas Orpe,Lafayette (Wildwood),,47,2:06.36,Langston Adams,Kirkwood,,47,22.90,Camden Theodos,John Burroughs,,47,56.07,Jonah DeWilde,Rockhurst,,47,50.11,Bentley Stasiak,Blue Springs South,,47,5:08.75,Chase Ellis,Blue Springs South,,47,1:38.05,Hickman,,47,57.80,Aiden Scholl,Smith-Cotton,,47,1:04.19,Jack Gillham,Glendale,,47,3:44.48,Raytown,
48,1:50.24,Farmington,,48,1:51.88,Hudson Tripp,Francis Howell,,48,2:06.37,Bryce Kundel,MICDS,,48,22.90,Edwards Tate,Rock Bridge,,48,56.15,Luke Williams,Lee's Summit North,,48,50.18,Keegan Brown,Kirkwood,,48,5:09.21,Camden Barry,Pattonville,,48,1:38.12,Carthage,,48,57.81,Dylan DuBois,Staley,,48,1:04.20,Jace Graham,Liberty,,48,3:44.78,Holt,
49,1:50.27,Pattonville,,49,1:51.91,Nathan Searls,Liberty,,49,2:06.43,Jack Hokanson,Platte County,,49,22.91,Jacob Corbett,SLUH,,49,56.16,Cameron Stallman,Hickman,,49,50.18,William Steurer,SLUH,,49,5:09.28,Cooper Salvia,Pattonville,,49,1:38.74,Rockwood Summit,,49,57.90,Davin Bachtel,Lee's Summit West,,49,1:04.20,John Claxton,Rockhurst,,49,3:45.31,Grain Valley,
50,1:50.49,Grain Valley,,50,1:52.01,Caden Ogles,Logan-Rogersville,,50,2:06.86,Trey Burle,Missouri Military Academy,,50,22.92,Arkadian Baumeister,Waynesville,,50,56.17,Camden Theodos,John Burroughs,,50,50.20,Riley Johnson,Hickman,,50,5:09.52,Hudson Tripp,Francis Howell,,50,1:38.79,Oak Park,,50,57.91,Thomas (Tommy) Fichter,Chaminade College Prep,,50,1:04.21,Garrison Wells,Staley,,50,3:45.48,St. Francis Borgia,
51,1:50.81,St. Francis Borgia,,51,1:52.05,Christian Kropf,Ozark,,51,2:06.88,Carter Reece,Blue Springs South,,51,22.92,George Wood,Central (Springfield),,51,56.20,Evan Smith,Webster Groves,,51,50.20,Alexander Wiggins,SLUH,,51,5:10.02,Alexander Foot,Park Hill South,,51,1:38.88,Raytown,,51,57.98,Cole Tobin,Liberty,,51,1:04.26,Ari Elder,Park Hill South,,51,3:46.09,Central (St. Joseph),
52,1:51.04,Ozark,,52,1:52.28,Peyton Dimmock,Parkway Central,,52,2:06.97,Carter Ullery,Kirkwood,,52,22.94,Seamus Smith,Kirkwood,,52,56.26,Cole Tobin,Liberty,,52,50.30,Magnus Yin,Clayton,,52,5:10.44,Magnus Yin,Clayton,,52,1:39.07,Hannibal,,52,58.01,Robert Jansen,Lee's Summit West,,52,1:04.30,Camden Theodos,John Burroughs,,52,3:47.04,Blue Springs,
53,1:51.69,Smithville,,53,1:52.29,Benjamin Hanson,Hickman,,53,2:07.06,Aidan Eastman,Lutheran St. Charles,,53,22.94,Evan Taber,Staley,,53,56.27,Carter Ullery,Kirkwood,,53,50.30,Thaddeus Richard,Lincoln College Prep,,53,5:10.47,Kai Kirsten,Rockwood Summit,,53,1:39.29,Westminster Christian Academy,,53,58.14,Nathan Searls,Liberty,,53,1:04.33,Reece Mason,Ozark,,53,3:47.21,Jackson,
54,1:52.64,Jackson,,54,1:52.40,Colin Cunneen,Chaminade College Prep,,54,2:07.11,William Newell,Rockhurst,,54,22.95,John Salido,Rockhurst,,54,56.34,Dallas York,Lee's Summit West,,54,50.36,Maxwell Moore,Parkway West,,54,5:10.49,Ethan Melson,Eureka,,54,1:39.64,Pattonville,,54,58.17,Barrett Mertens,Parkway North,,54,1:04.33,Lincoln Schaefer,St. Francis Borgia,,54,3:48.13,Westminster Christian Academy,
55,1:52.87,Carthage,,55,1:52.41,Kemper Roberts,Rockhurst,,55,2:07.14,Torsten Roither,Chaminade College Prep,,55,22.95,Jackson Shawhan,William Chrisman,,55,56.39,Eli Havens,Lebanon,,55,50.48,Nathan Malt,Parkway Central,,55,5:10.88,Bryce Kundel,MICDS,,55,1:40.51,Ozark,,55,58.26,William McIlwaine,De Smet Jesuit,,55,1:04.51,Ethan Lee,Lafayette (Wildwood),,55,3:50.02,Francis Howell North,
56,1:54.12,Oakville,,56,1:52.46,Miles Tomsic,Rockhurst,,56,2:07.25,Garrison Wells,Staley,,56,22.96,Isaac Stewart,Park Hill,,56,56.41,Harrison Seavey,Parkway West,,56,50.49,Caden Ogles,Logan-Rogersville,,56,5:11.12,Aidan Workman,Parkway North,,56,1:41.17,Warrensburg,,56,58.31,Andrew Collins,Ft. Zumwalt South,,56,1:04.71,Bryce Kundel,MICDS,,56,3:50.18,Lebanon,
57,1:54.99,St. Pius X (Kansas City),,57,1:52.54,Serkan Patterson,Parkway Central,,57,2:07.28,Nathan Bauer,Kirkwood,,57,22.96,John Welch,Lutheran St. Charles,,57,56.45,Aiden Scholl,Smith-Cotton,,57,50.50,Nathan Robbins,Francis Howell,,57,5:11.60,Eli Mullen,Lutheran St. Charles,,57,1:41.25,Francis Howell North,,57,58.34,William Newell,Rockhurst,,57,1:04.78,Justin Hendricks,Staley,,57,3:50.20,Oakville,
58,1:55.01,Liberty (Wentzville),,58,1:52.58,Haden Harshman,Grain Valley,,58,2:07.72,Kemper Roberts,Rockhurst,,58,22.97,Dallas York,Lee's Summit West,,58,56.54,Christian Kropf,Ozark,,58,50.52,Isaac Stewart,Park Hill,,58,5:11.99,Haden Harshman,Grain Valley,,58,1:41.41,Kickapoo,,58,58.38,Matthew Riggs,Liberty,,58,1:04.84,Samuel Oetting,Park Hill,,58,3:50.47,West Plains,
